dataset;metodo;strategia;llm_model;Silhouette;Davies-Bouldin;Compactness_class_1;KL_mean;JS_mean;Q_multi_attribute_similarity;KS_mean;Chi2_mean;WD_mean;pMSE;Precision;Recall;Density;Coverage;mDCR;MAD_mean;MMD;PCA_WD_mean;PCA_explained_var_cum;Moment_mean_diff;Moment_var_diff;Moment_skew_diff;Moment_kurt_diff;FE_real_mean;FE_syn_mean;FE_ratio_mean;Coverage_div
Migraine_onevsrest_4;ddpm;—;;0.167 +/- 0.000;2.533 +/- 0.000;17.289 +/- 0.000;2.521 +/- 0.000;0.1 +/- 0.000;0.805 +/- 0.000;0.237 +/- 0.000;0.161 +/- 0.000;0.932 +/- 0.000;0.226 +/- 0.000;1.0 +/- 0.000;0.021 +/- 0.000;0.778 +/- 0.000;0.064 +/- 0.000;1.732 +/- 0.000;0.904 +/- 0.000;0.524 +/- 0.000;2.24 +/- 0.000;0.492 +/- 0.000;0.904 +/- 0.000;3.957 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;2.487 +/- 0.000;0.003 +/- 0.000
Migraine_onevsrest_5;ddpm;—;;0.074 +/- 0.000;3.384 +/- 0.000;9.93 +/- 0.000;2.35 +/- 0.000;0.077 +/- 0.000;0.851 +/- 0.000;0.163 +/- 0.000;0.113 +/- 0.000;0.406 +/- 0.000;0.152 +/- 0.000;0.996 +/- 0.000;0.536 +/- 0.000;0.698 +/- 0.000;0.143 +/- 0.000;1.225 +/- 0.000;0.364 +/- 0.000;0.332 +/- 0.000;0.906 +/- 0.000;0.492 +/- 0.000;0.364 +/- 0.000;1.049 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.591 +/- 0.000;0.006 +/- 0.000
new-thyroid1;ddpm;—;;0.332 +/- 0.000;1.215 +/- 0.000;3.008 +/- 0.000;10.048 +/- 0.000;0.32 +/- 0.000;0.49 +/- 0.000;0.589 +/- 0.000;0.422 +/- 0.000;1.144 +/- 0.000;0.12 +/- 0.000;0.833 +/- 0.000;0.21 +/- 0.000;0.718 +/- 0.000;0.182 +/- 0.000;1.622 +/- 0.000;1.122 +/- 0.000;0.58 +/- 0.000;1.024 +/- 0.000;1.0 +/- 0.000;1.122 +/- 0.000;1.123 +/- 0.000;2.87 +/- 0.000;15.13 +/- 0.000;2.361 +/- 0.000;1.525 +/- 0.000;0.634 +/- 0.000;0.352 +/- 0.000
newthyroid2;ddpm;—;;0.284 +/- 0.000;1.392 +/- 0.000;3.61 +/- 0.000;8.836 +/- 0.000;0.328 +/- 0.000;0.474 +/- 0.000;0.54 +/- 0.000;0.441 +/- 0.000;1.361 +/- 0.000;0.109 +/- 0.000;0.604 +/- 0.000;0.276 +/- 0.000;0.479 +/- 0.000;0.192 +/- 0.000;2.338 +/- 0.000;1.217 +/- 0.000;0.552 +/- 0.000;1.345 +/- 0.000;1.0 +/- 0.000;1.217 +/- 0.000;2.597 +/- 0.000;2.878 +/- 0.000;15.683 +/- 0.000;2.36 +/- 0.000;1.429 +/- 0.000;0.594 +/- 0.000;0.278 +/- 0.000
Obesity_onevsrest_0;ddpm;—;;0.106 +/- 0.000;3.122 +/- 0.000;17.41 +/- 0.000;1.427 +/- 0.000;0.135 +/- 0.000;0.759 +/- 0.000;0.301 +/- 0.000;0.23 +/- 0.000;0.734 +/- 0.000;0.171 +/- 0.000;0.607 +/- 0.000;0.235 +/- 0.000;0.344 +/- 0.000;0.164 +/- 0.000;3.029 +/- 0.000;0.533 +/- 0.000;0.316 +/- 0.000;0.975 +/- 0.000;0.543 +/- 0.000;0.533 +/- 0.000;1.13 +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.062 +/- 0.000;0.958 +/- 0.000;1.084 +/- 0.000;0.045 +/- 0.000
Obesity_onevsrest_1;ddpm;—;;0.084 +/- 0.000;4.112 +/- 0.000;21.259 +/- 0.000;1.274 +/- 0.000;0.14 +/- 0.000;0.752 +/- 0.000;0.281 +/- 0.000;0.237 +/- 0.000;0.75 +/- 0.000;0.105 +/- 0.000;0.486 +/- 0.000;0.642 +/- 0.000;0.199 +/- 0.000;0.146 +/- 0.000;3.531 +/- 0.000;0.485 +/- 0.000;0.296 +/- 0.000;0.968 +/- 0.000;0.543 +/- 0.000;0.485 +/- 0.000;2.046 +/- 0.000;1.055 +/- 0.000;4.915 +/- 0.000;1.062 +/- 0.000;1.005 +/- 0.000;1.297 +/- 0.000;0.008 +/- 0.000
Obesity_onevsrest_2;ddpm;—;;0.105 +/- 0.000;3.089 +/- 0.000;20.296 +/- 0.000;1.233 +/- 0.000;0.183 +/- 0.000;0.708 +/- 0.000;0.39 +/- 0.000;0.318 +/- 0.000;1.064 +/- 0.000;0.129 +/- 0.000;0.43 +/- 0.000;0.727 +/- 0.000;0.19 +/- 0.000;0.205 +/- 0.000;4.505 +/- 0.000;0.883 +/- 0.000;0.435 +/- 0.000;1.663 +/- 0.000;0.543 +/- 0.000;0.883 +/- 0.000;2.081 +/- 0.000;1.456 +/- 0.000;5.631 +/- 0.000;1.062 +/- 0.000;1.001 +/- 0.000;1.419 +/- 0.000;0.038 +/- 0.000
Obesity_onevsrest_3;ddpm;—;;0.039 +/- 0.000;6.042 +/- 0.000;20.035 +/- 0.000;0.846 +/- 0.000;0.088 +/- 0.000;0.836 +/- 0.000;0.214 +/- 0.000;0.155 +/- 0.000;0.548 +/- 0.000;0.067 +/- 0.000;0.626 +/- 0.000;0.622 +/- 0.000;0.411 +/- 0.000;0.256 +/- 0.000;2.775 +/- 0.000;0.372 +/- 0.000;0.246 +/- 0.000;0.672 +/- 0.000;0.543 +/- 0.000;0.372 +/- 0.000;1.438 +/- 0.000;0.961 +/- 0.000;4.95 +/- 0.000;1.062 +/- 0.000;1.104 +/- 0.000;1.39 +/- 0.000;0.07 +/- 0.000
Obesity_onevsrest_4;ddpm;—;;0.079 +/- 0.000;3.605 +/- 0.000;18.738 +/- 0.000;1.042 +/- 0.000;0.145 +/- 0.000;0.75 +/- 0.000;0.319 +/- 0.000;0.249 +/- 0.000;0.973 +/- 0.000;0.114 +/- 0.000;0.368 +/- 0.000;0.54 +/- 0.000;0.251 +/- 0.000;0.201 +/- 0.000;7.442 +/- 0.000;0.846 +/- 0.000;0.414 +/- 0.000;1.252 +/- 0.000;0.543 +/- 0.000;0.846 +/- 0.000;1.997 +/- 0.000;1.279 +/- 0.000;5.178 +/- 0.000;1.062 +/- 0.000;0.895 +/- 0.000;1.284 +/- 0.000;0.044 +/- 0.000
Obesity_onevsrest_5;ddpm;—;;0.081 +/- 0.000;3.646 +/- 0.000;18.044 +/- 0.000;1.541 +/- 0.000;0.105 +/- 0.000;0.786 +/- 0.000;0.262 +/- 0.000;0.178 +/- 0.000;0.675 +/- 0.000;0.151 +/- 0.000;0.932 +/- 0.000;0.214 +/- 0.000;0.613 +/- 0.000;0.185 +/- 0.000;3.506 +/- 0.000;0.567 +/- 0.000;0.306 +/- 0.000;0.948 +/- 0.000;0.543 +/- 0.000;0.567 +/- 0.000;1.376 +/- 0.000;1.15 +/- 0.000;5.537 +/- 0.000;1.062 +/- 0.000;1.027 +/- 0.000;1.448 +/- 0.000;0.062 +/- 0.000
Obesity_onevsrest_6;ddpm;—;;0.183 +/- 0.000;2.026 +/- 0.000;1.996 +/- 0.000;4.509 +/- 0.000;0.097 +/- 0.000;0.82 +/- 0.000;0.239 +/- 0.000;0.102 +/- 0.000;0.524 +/- 0.000;0.137 +/- 0.000;0.958 +/- 0.000;0.174 +/- 0.000;0.851 +/- 0.000;0.119 +/- 0.000;0.163 +/- 0.000;0.502 +/- 0.000;0.507 +/- 0.000;0.954 +/- 0.000;0.533 +/- 0.000;0.502 +/- 0.000;0.876 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.816 +/- 0.000;0.28 +/- 0.000;0.199 +/- 0.000;0.01 +/- 0.000
page-blocks-1-3_vs_4;ddpm;—;;0.16 +/- 0.000;2.07 +/- 0.000;7.321 +/- 0.000;11.396 +/- 0.000;0.382 +/- 0.000;0.432 +/- 0.000;0.648 +/- 0.000;0.539 +/- 0.000;1.186 +/- 0.000;0.15 +/- 0.000;0.947 +/- 0.000;0.11 +/- 0.000;0.604 +/- 0.000;0.093 +/- 0.000;4.522 +/- 0.000;1.126 +/- 0.000;0.424 +/- 0.000;1.142 +/- 0.000;0.968 +/- 0.000;1.126 +/- 0.000;2.882 +/- 0.000;2.849 +/- 0.000;19.786 +/- 0.000;1.812 +/- 0.000;0.925 +/- 0.000;0.546 +/- 0.000;0.203 +/- 0.000
pima;ddpm;—;;0.065 +/- 0.000;3.791 +/- 0.000;9.862 +/- 0.000;1.398 +/- 0.000;0.09 +/- 0.000;0.749 +/- 0.000;0.217 +/- 0.000;0.116 +/- 0.000;0.526 +/- 0.000;0.025 +/- 0.000;0.85 +/- 0.000;0.872 +/- 0.000;0.906 +/- 0.000;0.523 +/- 0.000;1.123 +/- 0.000;0.364 +/- 0.000;0.208 +/- 0.000;0.502 +/- 0.000;0.812 +/- 0.000;0.364 +/- 0.000;1.228 +/- 0.000;0.636 +/- 0.000;2.316 +/- 0.000;2.334 +/- 0.000;2.248 +/- 0.000;0.956 +/- 0.000;0.12 +/- 0.000
transfusion;ddpm;—;;0.064 +/- 0.000;3.09 +/- 0.000;4.995 +/- 0.000;0.727 +/- 0.000;0.08 +/- 0.000;0.772 +/- 0.000;0.219 +/- 0.000;0.134 +/- 0.000;0.693 +/- 0.000;0.034 +/- 0.000;0.766 +/- 0.000;0.957 +/- 0.000;0.712 +/- 0.000;0.46 +/- 0.000;2.927 +/- 0.000;0.65 +/- 0.000;0.222 +/- 0.000;0.601 +/- 0.000;1.0 +/- 0.000;0.65 +/- 0.000;2.327 +/- 0.000;0.835 +/- 0.000;8.607 +/- 0.000;2.252 +/- 0.000;2.233 +/- 0.000;0.985 +/- 0.000;0.733 +/- 0.000
vowel0;ddpm;—;;0.108 +/- 0.000;3.044 +/- 0.000;11.833 +/- 0.000;2.535 +/- 0.000;0.148 +/- 0.000;0.687 +/- 0.000;0.282 +/- 0.000;0.242 +/- 0.000;0.627 +/- 0.000;0.166 +/- 0.000;0.569 +/- 0.000;0.144 +/- 0.000;0.49 +/- 0.000;0.1 +/- 0.000;4.418 +/- 0.000;0.488 +/- 0.000;0.342 +/- 0.000;0.814 +/- 0.000;0.816 +/- 0.000;0.488 +/- 0.000;0.545 +/- 0.000;0.4 +/- 0.000;0.588 +/- 0.000;2.248 +/- 0.000;1.917 +/- 0.000;0.864 +/- 0.000;0.056 +/- 0.000
yeast1;ddpm;—;;0.045 +/- 0.000;3.99 +/- 0.000;8.373 +/- 0.000;0.781 +/- 0.000;0.077 +/- 0.000;0.807 +/- 0.000;0.153 +/- 0.000;0.123 +/- 0.000;0.462 +/- 0.000;0.028 +/- 0.000;0.866 +/- 0.000;0.892 +/- 0.000;0.867 +/- 0.000;0.587 +/- 0.000;1.271 +/- 0.000;0.358 +/- 0.000;0.178 +/- 0.000;0.504 +/- 0.000;0.754 +/- 0.000;0.358 +/- 0.000;1.875 +/- 0.000;nan +/- 0.000;nan +/- 0.000;2.111 +/- 0.000;2.19 +/- 0.000;1.476 +/- 0.000;0.292 +/- 0.000
yeast3;ddpm;—;;0.124 +/- 0.000;2.664 +/- 0.000;8.187 +/- 0.000;2.843 +/- 0.000;0.144 +/- 0.000;0.726 +/- 0.000;0.239 +/- 0.000;0.228 +/- 0.000;0.768 +/- 0.000;0.148 +/- 0.000;0.661 +/- 0.000;0.533 +/- 0.000;0.734 +/- 0.000;0.292 +/- 0.000;1.432 +/- 0.000;0.716 +/- 0.000;0.369 +/- 0.000;1.021 +/- 0.000;0.754 +/- 0.000;0.716 +/- 0.000;2.517 +/- 0.000;nan +/- 0.000;nan +/- 0.000;2.111 +/- 0.000;1.76 +/- 0.000;1.637 +/- 0.000;0.197 +/- 0.000
abalone9-18;SMOTE;—;;0.122 +/- 0.000;2.049 +/- 0.000;5.026 +/- 0.000;2.793 +/- 0.000;0.121 +/- 0.000;0.74 +/- 0.000;0.375 +/- 0.000;0.182 +/- 0.000;0.772 +/- 0.000;0.103 +/- 0.000;0.998 +/- 0.000;0.206 +/- 0.000;1.023 +/- 0.000;0.259 +/- 0.000;1.187 +/- 0.000;0.766 +/- 0.000;0.412 +/- 0.000;0.711 +/- 0.000;0.983 +/- 0.000;0.766 +/- 0.000;0.442 +/- 0.000;0.326 +/- 0.000;0.687 +/- 0.000;2.376 +/- 0.000;2.123 +/- 0.000;0.89 +/- 0.000;0.224 +/- 0.000
cleveland-0_vs_4;SMOTE;—;;0.206 +/- 0.000;1.781 +/- 0.000;7.115 +/- 0.000;2.8 +/- 0.000;0.19 +/- 0.000;0.643 +/- 0.000;0.495 +/- 0.000;0.278 +/- 0.000;0.853 +/- 0.000;0.174 +/- 0.000;1.0 +/- 0.000;0.051 +/- 0.000;1.507 +/- 0.000;0.222 +/- 0.000;0.868 +/- 0.000;0.829 +/- 0.000;0.513 +/- 0.000;1.031 +/- 0.000;0.591 +/- 0.000;0.829 +/- 0.000;0.493 +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.242 +/- 0.000;1.39 +/- 0.000;1.356 +/- 0.000;0.023 +/- 0.000
dermatology-6;SMOTE;—;;0.124 +/- 0.000;1.58 +/- 0.000;11.006 +/- 0.000;5.746 +/- 0.000;0.152 +/- 0.000;0.729 +/- 0.000;0.339 +/- 0.000;0.126 +/- 0.000;0.801 +/- 0.000;0.067 +/- 0.000;1.0 +/- 0.000;0.036 +/- 0.000;1.39 +/- 0.000;0.059 +/- 0.000;0.707 +/- 0.000;0.755 +/- 0.000;0.593 +/- 0.000;2.329 +/- 0.000;0.631 +/- 0.000;0.755 +/- 0.000;0.838 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.872 +/- 0.000;0.357 +/- 0.000;0.485 +/- 0.000;0.0 +/- 0.000
iris0;SMOTE;—;;0.608 +/- 0.000;0.581 +/- 0.000;0.787 +/- 0.000;12.056 +/- 0.000;0.277 +/- 0.000;0.65 +/- 0.000;0.634 +/- 0.000;0.199 +/- 0.000;1.11 +/- 0.000;0.042 +/- 0.000;1.0 +/- 0.000;0.289 +/- 0.000;1.356 +/- 0.000;0.322 +/- 0.000;0.292 +/- 0.000;1.105 +/- 0.000;0.647 +/- 0.000;0.708 +/- 0.000;1.0 +/- 0.000;1.105 +/- 0.000;0.878 +/- 0.000;0.855 +/- 0.000;2.319 +/- 0.000;2.125 +/- 0.000;0.908 +/- 0.000;0.425 +/- 0.000;0.109 +/- 0.000
ecoli-0_vs_1;SMOTE;—;;0.354 +/- 0.000;1.204 +/- 0.000;5.974 +/- 0.000;2.339 +/- 0.000;0.1 +/- 0.000;0.77 +/- 0.000;0.304 +/- 0.000;0.104 +/- 0.000;0.586 +/- 0.000;0.032 +/- 0.000;1.0 +/- 0.000;0.781 +/- 0.000;1.08 +/- 0.000;0.342 +/- 0.000;0.431 +/- 0.000;0.577 +/- 0.000;0.473 +/- 0.000;0.576 +/- 0.000;0.984 +/- 0.000;0.577 +/- 0.000;0.417 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.62 +/- 0.000;0.231 +/- 0.000
ecoli1;SMOTE;—;;0.211 +/- 0.000;1.807 +/- 0.000;3.102 +/- 0.000;2.383 +/- 0.000;0.104 +/- 0.000;0.782 +/- 0.000;0.278 +/- 0.000;0.12 +/- 0.000;0.507 +/- 0.000;0.067 +/- 0.000;0.984 +/- 0.000;0.519 +/- 0.000;1.159 +/- 0.000;0.352 +/- 0.000;0.432 +/- 0.000;0.44 +/- 0.000;0.446 +/- 0.000;0.627 +/- 0.000;0.914 +/- 0.000;0.44 +/- 0.000;0.634 +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.719 +/- 0.000;1.341 +/- 0.000;0.755 +/- 0.000;0.182 +/- 0.000
kddcup-guess_passwd_vs_satan;SMOTE;—;;0.549 +/- 0.000;0.854 +/- 0.000;13.334 +/- 0.000;5.714 +/- 0.000;0.193 +/- 0.000;0.668 +/- 0.000;0.412 +/- 0.000;0.282 +/- 0.000;1.098 +/- 0.000;0.207 +/- 0.000;1.0 +/- 0.000;0.027 +/- 0.000;1.176 +/- 0.000;0.029 +/- 0.000;0.0 +/- 0.000;1.037 +/- 0.000;0.816 +/- 0.000;4.498 +/- 0.000;0.742 +/- 0.000;1.037 +/- 0.000;1.43 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.463 +/- 0.000;0.034 +/- 0.000
Migraine_onevsrest_0;SMOTE;—;;0.119 +/- 0.000;4.313 +/- 0.000;32.325 +/- 0.000;0.149 +/- 0.000;0.012 +/- 0.000;0.969 +/- 0.000;0.073 +/- 0.000;0.046 +/- 0.000;0.22 +/- 0.000;0.024 +/- 0.000;1.0 +/- 0.000;0.838 +/- 0.000;1.214 +/- 0.000;0.443 +/- 0.000;0.816 +/- 0.000;0.218 +/- 0.000;0.179 +/- 0.000;0.501 +/- 0.000;0.492 +/- 0.000;0.218 +/- 0.000;0.876 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.926 +/- 0.000;0.065 +/- 0.000
Migraine_onevsrest_1;SMOTE;—;;0.038 +/- 0.000;2.323 +/- 0.000;5.031 +/- 0.000;1.978 +/- 0.000;0.051 +/- 0.000;0.901 +/- 0.000;0.141 +/- 0.000;0.061 +/- 0.000;0.332 +/- 0.000;0.06 +/- 0.000;1.0 +/- 0.000;0.252 +/- 0.000;1.101 +/- 0.000;0.191 +/- 0.000;1.0 +/- 0.000;0.324 +/- 0.000;0.394 +/- 0.000;0.797 +/- 0.000;0.492 +/- 0.000;0.324 +/- 0.000;0.724 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.229 +/- 0.000;0.068 +/- 0.000
Migraine_onevsrest_2;SMOTE;—;;0.058 +/- 0.000;3.217 +/- 0.000;14.614 +/- 0.000;1.999 +/- 0.000;0.052 +/- 0.000;0.896 +/- 0.000;0.139 +/- 0.000;0.116 +/- 0.000;0.308 +/- 0.000;0.019 +/- 0.000;1.0 +/- 0.000;0.215 +/- 0.000;1.1 +/- 0.000;0.156 +/- 0.000;1.0 +/- 0.000;0.294 +/- 0.000;0.377 +/- 0.000;0.537 +/- 0.000;0.492 +/- 0.000;0.294 +/- 0.000;0.725 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.325 +/- 0.000;0.016 +/- 0.000
Migraine_onevsrest_3;SMOTE;—;;0.315 +/- 0.000;1.319 +/- 0.000;14.486 +/- 0.000;4.087 +/- 0.000;0.111 +/- 0.000;0.79 +/- 0.000;0.218 +/- 0.000;0.144 +/- 0.000;0.755 +/- 0.000;0.078 +/- 0.000;1.0 +/- 0.000;0.042 +/- 0.000;1.42 +/- 0.000;0.053 +/- 0.000;1.414 +/- 0.000;0.746 +/- 0.000;0.907 +/- 0.000;1.832 +/- 0.000;0.492 +/- 0.000;0.746 +/- 0.000;0.639 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.382 +/- 0.000;0.019 +/- 0.000
Migraine_onevsrest_4;SMOTE;—;;0.206 +/- 0.000;3.193 +/- 0.000;31.975 +/- 0.000;1.651 +/- 0.000;0.043 +/- 0.000;0.913 +/- 0.000;0.133 +/- 0.000;0.058 +/- 0.000;0.396 +/- 0.000;0.053 +/- 0.000;0.967 +/- 0.000;0.448 +/- 0.000;1.295 +/- 0.000;0.196 +/- 0.000;1.414 +/- 0.000;0.366 +/- 0.000;0.358 +/- 0.000;0.745 +/- 0.000;0.492 +/- 0.000;0.366 +/- 0.000;1.274 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.887 +/- 0.000;0.023 +/- 0.000
Migraine_onevsrest_5;SMOTE;—;;0.013 +/- 0.000;3.424 +/- 0.000;12.237 +/- 0.000;2.018 +/- 0.000;0.05 +/- 0.000;0.9 +/- 0.000;0.13 +/- 0.000;0.11 +/- 0.000;0.315 +/- 0.000;0.012 +/- 0.000;0.952 +/- 0.000;0.313 +/- 0.000;1.543 +/- 0.000;0.133 +/- 0.000;1.0 +/- 0.000;0.291 +/- 0.000;0.301 +/- 0.000;0.81 +/- 0.000;0.492 +/- 0.000;0.291 +/- 0.000;0.86 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.362 +/- 0.000;0.013 +/- 0.000
new-thyroid1;SMOTE;—;;0.353 +/- 0.000;1.112 +/- 0.000;2.72 +/- 0.000;8.274 +/- 0.000;0.272 +/- 0.000;0.544 +/- 0.000;0.612 +/- 0.000;0.332 +/- 0.000;0.923 +/- 0.000;0.09 +/- 0.000;1.0 +/- 0.000;0.201 +/- 0.000;1.234 +/- 0.000;0.187 +/- 0.000;0.686 +/- 0.000;0.922 +/- 0.000;0.586 +/- 0.000;0.737 +/- 0.000;1.0 +/- 0.000;0.922 +/- 0.000;0.671 +/- 0.000;2.424 +/- 0.000;13.378 +/- 0.000;2.361 +/- 0.000;1.786 +/- 0.000;0.743 +/- 0.000;0.296 +/- 0.000
newthyroid2;SMOTE;—;;0.356 +/- 0.000;1.113 +/- 0.000;2.663 +/- 0.000;8.474 +/- 0.000;0.285 +/- 0.000;0.53 +/- 0.000;0.628 +/- 0.000;0.345 +/- 0.000;0.985 +/- 0.000;0.092 +/- 0.000;1.0 +/- 0.000;0.159 +/- 0.000;1.19 +/- 0.000;0.178 +/- 0.000;0.848 +/- 0.000;0.983 +/- 0.000;0.579 +/- 0.000;0.776 +/- 0.000;1.0 +/- 0.000;0.983 +/- 0.000;0.782 +/- 0.000;2.745 +/- 0.000;13.984 +/- 0.000;2.36 +/- 0.000;1.798 +/- 0.000;0.748 +/- 0.000;0.333 +/- 0.000
Obesity_onevsrest_0;SMOTE;—;;0.1 +/- 0.000;3.105 +/- 0.000;13.187 +/- 0.000;1.25 +/- 0.000;0.062 +/- 0.000;0.866 +/- 0.000;0.206 +/- 0.000;0.092 +/- 0.000;0.44 +/- 0.000;0.149 +/- 0.000;0.992 +/- 0.000;0.156 +/- 0.000;1.27 +/- 0.000;0.184 +/- 0.000;0.243 +/- 0.000;0.412 +/- 0.000;0.301 +/- 0.000;0.746 +/- 0.000;0.543 +/- 0.000;0.412 +/- 0.000;0.366 +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.062 +/- 0.000;0.878 +/- 0.000;0.87 +/- 0.000;0.067 +/- 0.000
Obesity_onevsrest_1;SMOTE;—;;0.075 +/- 0.000;3.682 +/- 0.000;14.99 +/- 0.000;0.65 +/- 0.000;0.043 +/- 0.000;0.907 +/- 0.000;0.181 +/- 0.000;0.068 +/- 0.000;0.408 +/- 0.000;0.097 +/- 0.000;0.973 +/- 0.000;0.464 +/- 0.000;0.986 +/- 0.000;0.259 +/- 0.000;1.514 +/- 0.000;0.385 +/- 0.000;0.273 +/- 0.000;0.575 +/- 0.000;0.543 +/- 0.000;0.385 +/- 0.000;0.428 +/- 0.000;1.726 +/- 0.000;25.435 +/- 0.000;1.062 +/- 0.000;0.966 +/- 0.000;0.935 +/- 0.000;0.039 +/- 0.000
Obesity_onevsrest_2;SMOTE;—;;0.029 +/- 0.000;5.807 +/- 0.000;13.79 +/- 0.000;0.761 +/- 0.000;0.035 +/- 0.000;0.915 +/- 0.000;0.128 +/- 0.000;0.048 +/- 0.000;0.272 +/- 0.000;0.072 +/- 0.000;0.985 +/- 0.000;0.21 +/- 0.000;1.224 +/- 0.000;0.245 +/- 0.000;0.608 +/- 0.000;0.25 +/- 0.000;0.17 +/- 0.000;0.391 +/- 0.000;0.543 +/- 0.000;0.25 +/- 0.000;0.366 +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.062 +/- 0.000;0.923 +/- 0.000;0.873 +/- 0.000;0.076 +/- 0.000
Obesity_onevsrest_3;SMOTE;—;;0.028 +/- 0.000;5.468 +/- 0.000;12.192 +/- 0.000;0.854 +/- 0.000;0.042 +/- 0.000;0.905 +/- 0.000;0.151 +/- 0.000;0.06 +/- 0.000;0.341 +/- 0.000;0.067 +/- 0.000;0.99 +/- 0.000;0.176 +/- 0.000;1.179 +/- 0.000;0.23 +/- 0.000;0.661 +/- 0.000;0.295 +/- 0.000;0.196 +/- 0.000;0.454 +/- 0.000;0.543 +/- 0.000;0.295 +/- 0.000;0.499 +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.095 +/- 0.000;0.943 +/- 0.000;0.781 +/- 0.000;0.089 +/- 0.000
Obesity_onevsrest_4;SMOTE;—;;0.029 +/- 0.000;5.336 +/- 0.000;11.394 +/- 0.000;0.743 +/- 0.000;0.039 +/- 0.000;0.91 +/- 0.000;0.134 +/- 0.000;0.052 +/- 0.000;0.288 +/- 0.000;0.054 +/- 0.000;0.999 +/- 0.000;0.204 +/- 0.000;1.194 +/- 0.000;0.251 +/- 0.000;0.352 +/- 0.000;0.258 +/- 0.000;0.201 +/- 0.000;0.523 +/- 0.000;0.543 +/- 0.000;0.258 +/- 0.000;0.447 +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.062 +/- 0.000;0.882 +/- 0.000;0.685 +/- 0.000;0.092 +/- 0.000
Obesity_onevsrest_5;SMOTE;—;;0.097 +/- 0.000;2.767 +/- 0.000;8.319 +/- 0.000;1.926 +/- 0.000;0.075 +/- 0.000;0.848 +/- 0.000;0.208 +/- 0.000;0.097 +/- 0.000;0.434 +/- 0.000;0.136 +/- 0.000;0.995 +/- 0.000;0.128 +/- 0.000;1.237 +/- 0.000;0.172 +/- 0.000;0.199 +/- 0.000;0.407 +/- 0.000;0.348 +/- 0.000;0.678 +/- 0.000;0.543 +/- 0.000;0.407 +/- 0.000;0.549 +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.062 +/- 0.000;0.736 +/- 0.000;0.588 +/- 0.000;0.061 +/- 0.000
Obesity_onevsrest_6;SMOTE;—;;0.173 +/- 0.000;1.97 +/- 0.000;1.673 +/- 0.000;4.579 +/- 0.000;0.103 +/- 0.000;0.81 +/- 0.000;0.243 +/- 0.000;0.101 +/- 0.000;0.523 +/- 0.000;0.116 +/- 0.000;1.0 +/- 0.000;0.175 +/- 0.000;1.231 +/- 0.000;0.12 +/- 0.000;0.016 +/- 0.000;0.495 +/- 0.000;0.517 +/- 0.000;0.999 +/- 0.000;0.533 +/- 0.000;0.495 +/- 0.000;0.899 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.816 +/- 0.000;0.242 +/- 0.000;0.165 +/- 0.000;0.008 +/- 0.000
page-blocks-1-3_vs_4;SMOTE;—;;0.192 +/- 0.000;1.832 +/- 0.000;6.586 +/- 0.000;8.522 +/- 0.000;0.334 +/- 0.000;0.456 +/- 0.000;0.625 +/- 0.000;0.408 +/- 0.000;1.178 +/- 0.000;0.11 +/- 0.000;1.0 +/- 0.000;0.064 +/- 0.000;1.102 +/- 0.000;0.079 +/- 0.000;51.095 +/- 0.000;1.074 +/- 0.000;0.49 +/- 0.000;1.118 +/- 0.000;0.968 +/- 0.000;1.074 +/- 0.000;1.933 +/- 0.000;2.72 +/- 0.000;18.882 +/- 0.000;1.827 +/- 0.000;2.356 +/- 0.000;1.417 +/- 0.000;0.232 +/- 0.000
